id_municipio,risco_observado,risco_previsto,codigo_uf,regiao,meta_alfabetizacao_2025,taxa_alfabetizacao_anterior,n_estudantes_teste,taxa_alfabetizacao_prevista,risco_ic95_inferior,risco_ic95_superior,deficit_para_meta_pp,amostra_suficiente,nome_municipio
2902658,0.4444444444444444,0.6927899191103636,29,Nordeste,53.25,40.8,9,30.721008088963643,0.3913829236708796,0.9941969145498475,22.528991911036357,False,Banzaê
4321501,0.5641025641025641,0.6924864991031837,43,Sul,68.39,62.86,39,30.75135008968163,0.5476555032226463,0.8373174949837211,37.63864991031837,True,Torres
2930766,0.5555555555555556,0.6920199910773893,29,Nordeste,55.61,44.05,9,30.79800089226107,0.3904032796078788,0.9936367025468998,24.81199910773893,False,Sítio do Quinto
2926657,0.3333333333333333,0.6909140023247985,29,Nordeste,57.87,47.25,6,30.90859976752015,0.32114363150423975,1.0,26.961400232479846,False,Ribeirão do Largo
2202174,0.3333333333333333,0.6905700984006496,22,Nordeste,33.1,17.66,12,30.942990159935036,0.42902265891354485,0.9521175378877544,2.1570098400649655,False,Campo Largo do Piauí
1705607,0.7142857142857143,0.6893831043028263,17,Norte,42.73,27.6,7,31.061689569717366,0.34657592665804876,1.0,11.66831043028263,False,Conceição do Tocantins
2901502,0.5,0.6883441738067836,29,Nordeste,51.72,38.74,12,31.16558261932164,0.42628106188257825,0.9504072857309889,20.55441738067836,False,Anguera
2700607,0.5,0.6880337285031456,27,Nordeste,46.28,31.79,12,31.19662714968544,0.4258992581803898,0.9501681988259014,15.08337285031456,False,Barra de São Miguel
2204352,0.5,0.684882392872295,22,Nordeste,35.05,19.5,6,31.5117607127705,0.31315481504689874,1.0,3.538239287229498,False,Geminiano
2500908,0.6666666666666666,0.6845460662986121,25,Nordeste,49.12,35.35,6,31.545393370138786,0.3127115004525221,1.0,17.57460662986121,False,Arara
2804607,0.7222222222222222,0.6839953656739359,28,Nordeste,47.02,32.7,18,31.600463432606407,0.469215718657507,0.8987750126903649,15.419536567393596,False,Nossa Senhora das Dores
2402204,0.6764705882352942,0.6827886835768722,24,Nordeste,50.93,37.7,34,31.721131642312784,0.5263536188342102,0.8392237483195342,19.208868357687216,True,Canguaretama
2801306,0.6571428571428571,0.6825235042888114,28,Nordeste,47.68,33.52,35,31.747649571118863,0.5283049441180497,0.836742064459573,15.932350428881136,True,Capela
2806107,0.6666666666666666,0.6818950034559793,28,Nordeste,52.05,39.18,12,31.81049965440207,0.4183775118846566,0.945412495027302,20.23950034559793,False,Rosário do Catete
4320008,0.5454545454545454,0.6799847586379983,43,Sul,65.93,59.14,121,32.00152413620017,0.5968661419355746,0.763103375340422,33.92847586379984,True,Sapucaia do Sul
2923506,0.7142857142857143,0.6799500494244375,29,Nordeste,55.38,43.73,7,32.00499505755625,0.33436540383666863,1.0,23.375004942443752,False,Palmeiras
2903003,0.6363636363636364,0.6795023020235147,29,Nordeste,52.1,39.25,11,32.04976979764853,0.40371920003280115,0.9552854040142282,20.05023020235147,False,Barra do Mendes
1300839,1.0,0.6794969559548649,13,Norte,30.23,30.2,11,32.05030440451351,0.40371263876086577,0.955281273148864,-1.8203044045135108,False,Caapiranga
2702207,0.5,0.6794939028509618,27,Nordeste,48.48,34.53,8,32.05060971490382,0.3561073121724891,1.0,16.429390285096176,False,Coqueiro Seco
4318101,0.75,0.6794482746692337,43,Sul,65.31,58.21,4,32.05517253307663,0.22209337595687367,1.0,33.25482746692337,False,São Francisco de Assis
2705200,0.6363636363636364,0.6791598477420543,27,Nordeste,45.47,30.81,22,32.08401522579457,0.4840967625160667,0.8742229329680419,13.385984774205426,False,Messias
1718550,0.75,0.6782949033096585,17,Norte,36.89,21.31,4,32.17050966903415,0.22050698873935326,1.0,4.719490330965847,False,Riachinho
2906600,0.45454545454545453,0.6777334863325152,29,Nordeste,57.5,46.72,11,32.226651366748484,0.40155058261188925,0.9539163900531411,25.273348633251516,False,Candiba
2802106,0.74,0.6774574812250367,28,Nordeste,48.03,33.96,50,32.25425187749633,0.5478871475217022,0.8070278149283712,15.775748122503671,True,Estância
2704500,0.6346153846153846,0.6767342884205202,27,Nordeste,46.77,32.4,52,32.32657115794798,0.5496056746707639,0.8038629021702764,14.443428842052022,True,Maragogi
2903706,0.5384615384615384,0.6757763339064777,29,Nordeste,55.73,44.22,13,32.422366609352224,0.4213229443146296,0.9302297234983259,23.307633390647773,False,Boa Nova
2402006,0.4583333333333333,0.6756669332127716,24,Nordeste,49.31,35.59,24,32.43330667872284,0.48837787859219095,0.8629559878333523,16.87669332127716,False,Caicó
2207934,0.5,0.6730587106368974,22,Nordeste,50.99,37.77,4,32.694128936310264,0.213345021870883,1.0,18.295871063689738,False,Pedro Laurentino
