id_municipio,taxa_alfabetizacao_anterior,media_portugues_anterior,percentual_participacao_anterior,total_alunos_avaliados_anterior,populacao_anterior,pib_per_capita_anterior,meta_alfabetizacao_2025,cluster,silhouette_global
2409100,24.57,719.2313,73.68,84.0,11102.0,16175.644028103045,40.01,1,0.33899545632891714
2409209,47.42,732.2054,82.14,23.0,3115.0,14954.414125200643,57.99,1,0.33899545632891714
2409308,32.16,709.9199,83.33,60.0,11007.0,18001.81702552921,46.58,1,0.33899545632891714
2409332,47.93,746.1843,,43.0,4847.0,18512.27563441304,,1,0.33899545632891714
2409407,38.86,726.8157,80.92,106.0,30479.0,27157.190196528758,51.81,1,0.33899545632891714
2409506,45.48,733.1812,70.18,40.0,3618.0,89940.57490326147,56.63,1,0.33899545632891714
2409605,42.11,734.536,90.48,19.0,2441.0,26726.75133142155,54.21,1,0.33899545632891714
2409704,19.48,700.8272,85.71,36.0,6242.0,45194.32874078821,35.03,1,0.33899545632891714
2409803,16.96,707.3625,73.47,36.0,13824.0,14532.407407407409,32.33,1,0.33899545632891714
2409902,40.87,721.5924,87.79,151.0,12278.0,54449.421729923444,53.3,1,0.33899545632891714
2410108,10.4,692.2108,,91.0,12390.0,13002.66343825666,,1,0.33899545632891714
2410207,50.87,738.4125,96.15,75.0,7601.0,13134.061307722668,60.37,1,0.33899545632891714
2410256,58.35,749.6747,80.0,72.0,5228.0,32595.44758990053,65.41,1,0.33899545632891714
2410306,29.52,715.8639,,107.0,10743.0,14001.02392255422,,1,0.33899545632891714
2410405,35.91,716.6875,86.92,93.0,9362.0,19535.248878444774,49.56,1,0.33899545632891714
2410504,55.6,747.0942,88.46,23.0,5432.0,11388.991163475699,63.57,1,0.33899545632891714
2410603,29.93,728.2479,92.0,23.0,2934.0,16458.759372869805,44.73,1,0.33899545632891714
2410801,47.5,731.5604,82.93,34.0,4127.0,13044.826750666345,58.04,1,0.33899545632891714
2410900,41.04,723.419,70.59,36.0,7389.0,43298.2812288537,53.43,1,0.33899545632891714
2411007,31.19,715.1862,86.54,45.0,4242.0,15974.776049033475,45.78,1,0.33899545632891714
2411056,23.53,737.3825,,17.0,5382.0,28817.354143441098,,1,0.33899545632891714
2411106,58.23,733.5103,97.06,33.0,3206.0,68072.05240174673,65.33,0,0.33899545632891714
2411205,21.35,704.4625,78.41,345.0,37313.0,19197.30388872511,36.93,1,0.33899545632891714
2411403,21.7,709.8514,85.07,57.0,12456.0,16625.561978163136,37.27,1,0.33899545632891714
2411429,52.34,749.0748,96.77,30.0,2696.0,19083.45697329377,61.37,1,0.33899545632891714
2411502,66.5,759.8486,80.3,53.0,22177.0,15309.329485503,70.8,0,0.33899545632891714
2411601,57.76,738.7733,73.91,51.0,3304.0,119507.56658595639,65.01,1,0.33899545632891714
2411700,33.35,731.1,89.36,42.0,3792.0,15361.550632911392,47.54,1,0.33899545632891714
2411809,47.14,735.0428,,26.0,3492.0,22210.767468499427,,1,0.33899545632891714
2411908,56.85,749.7827,91.67,44.0,4161.0,17869.983177120885,64.41,0,0.33899545632891714
2412005,52.34,743.8299,73.26,737.0,115838.0,22346.41482069787,61.37,1,0.33899545632891714
2412104,49.46,739.0451,90.0,45.0,5956.0,16802.048354600403,59.4,1,0.33899545632891714
2412203,34.64,720.7443,76.47,481.0,47286.0,30829.42097026604,48.56,1,0.33899545632891714
2412302,18.05,704.5014,70.24,59.0,11121.0,14857.476845607407,33.52,1,0.33899545632891714
2412401,36.3,720.7906,96.0,48.0,4558.0,23376.042123738483,49.86,1,0.33899545632891714
2412500,39.84,728.4335,89.42,245.0,23537.0,17846.964353995838,52.54,1,0.33899545632891714
2412559,33.46,723.0521,,86.0,10221.0,69670.09098914001,38.85,1,0.33899545632891714
2412609,54.24,745.6246,,124.0,16786.0,17314.42869057548,,1,0.33899545632891714
2412807,19.8,714.285,88.89,32.0,7711.0,14036.441447283101,35.36,1,0.33899545632891714
2412906,20.09,701.8644,84.29,59.0,9972.0,18537.50501403931,35.66,1,0.33899545632891714
2413003,62.96,744.3954,90.0,27.0,6310.0,15920.443740095086,68.46,0,0.33899545632891714
2413102,59.85,756.6516,,49.0,5807.0,13767.86636817634,,0,0.33899545632891714
2413201,23.89,714.5853,84.06,58.0,4065.0,28176.13776137761,39.38,1,0.33899545632891714
2413300,26.92,713.3442,77.61,52.0,5703.0,14875.15342802034,42.13,1,0.33899545632891714
2413359,32.67,718.9323,73.83,79.0,13091.0,52352.073943930955,46.99,1,0.33899545632891714
2413409,25.83,714.6287,92.5,37.0,7597.0,21368.82980123733,41.16,1,0.33899545632891714
2413508,56.19,755.2196,95.24,60.0,6436.0,14351.771286513362,63.97,0,0.33899545632891714
2413557,57.44,745.4119,97.22,35.0,4659.0,13891.822279459111,64.8,0,0.33899545632891714
2413607,71.63,758.0995,81.82,27.0,5487.0,17654.455986878074,74.22,0,0.33899545632891714
2413706,28.73,709.9814,79.37,50.0,4654.0,13793.510958315428,43.71,1,0.33899545632891714
2413805,45.45,731.5928,91.67,22.0,2338.0,18629.59794696322,56.6,1,0.33899545632891714
2413904,36.54,726.4471,85.42,41.0,11422.0,16117.229907196635,50.04,1,0.33899545632891714
